draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bFT,bMVP,bWP,bER,sigma
0,131.8369806756919,0.9687188660315397,0.5593889784633831,3.0,7.0,0.0,-129.7543698451029,0.29940755882053066,0.07478696315434866,0.05055599630853323,0.18486483117539151,0.07196571435902127,0.19847300424632797
1,129.01546341078773,0.7925801365726227,0.4880592379583002,3.0,7.0,0.0,-125.62306061204701,0.29706231457432636,0.03761673190211913,0.06610523133794513,0.2270482575350688,0.019898095738287158,0.2076358755833492
2,129.80094006138867,0.8441944054497132,0.5356568055523541,2.0,3.0,0.0,-129.34773820392587,0.2520134267447008,0.06645319056106315,0.02966411283430601,0.20006355176246854,0.06675579661563397,0.17652698880120204
3,129.29605093301205,0.9780222760110654,0.5550471485189914,3.0,7.0,0.0,-127.13949454592816,0.26111679616686995,0.07488098998120567,0.05572354279350862,0.18537297400932784,0.10096855629105617,0.21314681369431554
4,129.65314291539286,0.7447545847081845,0.5593889784633831,3.0,7.0,0.0,-125.32618788579708,0.2656133971385913,0.07639409243275674,0.004323593754739443,0.19479268351860124,0.05429614643041501,0.20850194185287457
5,124.90508620088525,0.9671874600061237,0.4880592379583002,3.0,7.0,0.0,-123.27710602974408,0.263535450761935,0.12797045157557538,0.03675512380413076,0.12993084963740065,0.11525508278455478,0.18581729088187277
6,129.6769909366268,0.9879374644102648,0.5356568055523541,3.0,7.0,0.0,-127.80327974484013,0.29994098890244986,0.07594143859045248,0.07211136926346978,0.2047433511846993,0.03018851281563062,0.21016296350086666
7,130.3627236221021,0.9199167171193998,0.5550471485189914,3.0,7.0,0.0,-123.70255114326157,0.2961811216818014,0.10185800583286296,0.045392691430213225,0.2148053733042574,0.05282596640740903,0.19088002504481186
8,130.3813411241522,0.9190783623705795,0.5593889784633831,3.0,7.0,0.0,-127.16523121574838,0.2884695643024732,0.06200180992420505,0.05641945603469901,0.18649893861687283,0.0344060243679994,0.18976062061828874
9,129.5342172034705,1.0,0.4880592379583002,3.0,7.0,0.0,-122.5196726611919,0.26557124143531624,0.11043489574698793,0.06256584251333462,0.18758759090362304,0.059208374415457135,0.21258615950409093
10,130.68693262964237,0.7149647370067264,0.5356568055523541,3.0,7.0,0.0,-125.26056153119575,0.26297607355704805,0.07251799782807977,0.04952652014767872,0.23793166074100916,0.03095930501221913,0.18799378459686922
11,126.96906705896735,0.8960455181451026,0.5550471485189914,3.0,7.0,0.0,-124.31078673527165,0.2727472164810019,0.10701981846740552,0.025665099956543057,0.1498698094779615,0.09529720437181596,0.23078757157947163
12,131.12663724978879,0.9922051185440112,0.5593889784633831,3.0,7.0,0.0,-128.88656801050456,0.2660138843986896,0.09281484905426635,0.037005345419135485,0.18823828810200827,0.07977017809852366,0.21038983312401485
13,129.62208412231303,0.9780613765372086,0.4880592379583002,3.0,7.0,0.0,-126.85967791041368,0.2667733712850219,0.062384810262296767,0.02639274522227448,0.1822738687841488,0.08311170711000042,0.1776942691117019
14,131.49600105173,0.9953318926064879,0.5356568055523541,3.0,7.0,0.0,-129.3830931011378,0.29689280398149,0.053961913125837674,0.03899269824239791,0.20278315718141204,0.05965428472758369,0.20652688968452565
15,127.38826484989504,0.9272985986087726,0.5550471485189914,3.0,7.0,0.0,-123.15373983563866,0.2590240836657895,0.06811464234334574,0.06434668678176099,0.25971135248764643,0.010862442847725846,0.1932362111474973
16,131.70927900201875,0.980506201613732,0.5593889784633831,3.0,7.0,0.0,-129.6895061215889,0.29167589399402566,0.05567203186895244,0.030289062377772603,0.21383258372892214,0.03804010723700849,0.18862828846372534
17,130.1239754211594,0.9901352421870098,0.4880592379583002,3.0,7.0,0.0,-127.51602969582817,0.297429790683654,0.061929563065846335,0.05384470590213513,0.22189834330038738,0.023785325569772715,0.21557226555318906
18,127.95178757615312,0.8871540707191828,0.5356568055523541,2.0,7.0,0.0,-126.71617582492414,0.3006999480954433,0.0528183653369631,0.017324703930884776,0.24399208569043532,0.049035864685745834,0.22704307102285767
19,130.37518124623833,0.9886437857674274,0.5550471485189914,2.0,3.0,0.0,-125.19605316822506,0.2630418907041977,0.04785117466661797,0.02907463891617406,0.2251532497565147,0.02038026590480734,0.19048182076989884
20,131.1480973876583,0.6247013435063188,0.5593889784633831,3.0,7.0,0.0,-127.9229451588844,0.26955887647836124,0.06684129140609224,0.03797456305422182,0.18149816237480768,0.05143827301322919,0.18723942793167545
21,128.7409265173511,0.7792694007529349,0.4880592379583002,3.0,7.0,0.0,-122.9413175789636,0.29772431959077766,0.08364781863089467,0.05641304736528102,0.24562450566978253,0.014972475859358677,0.1986118951606624
22,129.13892972693958,1.0,0.5356568055523541,3.0,7.0,0.0,-126.23665556870775,0.297273243898082,0.04788807682725947,0.014273195588872578,0.25208451472123494,0.0129403658361089,0.20559820402938273
23,131.85810728959598,1.0,0.5550471485189914,3.0,7.0,0.0,-129.59857919811154,0.2841897644909893,0.08575296086479037,0.05695765627187916,0.2051229182557105,0.06364126330064741,0.20141385952933405
24,130.68138325037222,0.9801423461304596,0.5593889784633831,3.0,7.0,0.0,-128.18075942821292,0.291019319369922,0.08270011696503256,0.05507814928196518,0.17029057859610444,0.04983985424015246,0.20288415990550376
25,130.85158464526555,0.8777333324973636,0.4880592379583002,3.0,15.0,0.0,-123.28979718000159,0.27056571036861243,0.09753771585947334,0.04427765861377341,0.1622385724898997,0.0698209913713856,0.2028970738299754
26,127.98609036400372,0.8622232695725678,0.5356568055523541,3.0,7.0,0.0,-125.62336659050689,0.3109986887593831,0.032988752490073436,0.025686819892905784,0.2348376457622497,0.012652156057256555,0.20417463544733647
27,127.4392095160388,0.7742379892629632,0.5550471485189914,3.0,7.0,0.0,-125.72169530557306,0.26955002978777437,0.02342345772332914,0.029347440222118607,0.19987428939473953,0.06543487350549901,0.1839968964597924
28,126.63329301307073,0.8488116598785075,0.5593889784633831,2.0,3.0,0.0,-125.37909095575489,0.2937339173848574,0.08350353419583079,0.07835282814019233,0.1799300613208943,0.09532552218397124,0.17476285478114834
29,130.2561304368474,0.8889150974119123,0.4880592379583002,3.0,7.0,0.0,-127.90364558701965,0.2987980100675866,0.050156836536456965,0.05991616228384737,0.20319263805066498,0.030383215016603102,0.1949607250064856
30,129.29468226051964,0.824332467492084,0.5356568055523541,3.0,15.0,0.0,-122.95480072673887,0.2732143761994635,0.08219380050955634,0.06588016638335312,0.1433429959481219,0.08840960281718865,0.19203023108409523
